"Sample_ID","uniquely_mapped_total","FemaleID","Date","RIN","Postcop","swelling","male_presence","cycle","phase","phasecode","SampleType","MaleID","DyadID","MHCI_allele_comp","MHCII_allele_comp","MHCI_supertype_comp","MHCII_supertype_comp","Male_stMLH","Male_MHCI_allele","Male_MHCII_allele","Male_MHCI_supertype","Male_MHCII_supertype","KINSHIP"
"231",6541166,"Salade","6/27/19",6.4,"N","LGS","No Male",0,"pre-fertile","PreF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"237",7113062,"Salade","7/1/19",5.9,"N","FD","No Male",0,"fertile","F","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"238",6229704,"Sottise","7/1/19",6.7,"N","MGS","No Male",1,"non-fertile","NonF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"242",15827972,"Viva","7/3/19",7.2,"N","FD","With Male",1,"non-fertile","NonF","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"243",4631184,"Sottise","7/3/19",7.2,"N","MGS","No Male",1,"pre-fertile","PreF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"245",6283015,"Salade","7/4/19",4.3,"N","FD","No Male",1,"post-fertile","PostF","Vaginal","Alf",9,0.1176,0.1667,0.5,0.6,0.986394341,9,7,8,5,-0.100036
"25",15044047,"Barbie","1/7/19",4.3,"N","DGS","No Male",1,"fertile","F","Vaginal","Momo",1,0.2941,0,0.666666666666667,0.285714285714286,1.038536994,10,8,6,5,-0.0928548
"254",6970059,"Sottise","7/10/19",6,"N","DGS","No Male",1,"fertile","F","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
"259",5954974,"Viva","7/13/19",8.4,"N","LGS","With Male",2,"pre-fertile","PreF","Vaginal","Auguste",6,0.8182,0.3333,0.888888888888889,0.333333333333333,0.984761238,11,6,9,6,-0.0546244
"26",7719041,"Vertige","1/9/19",6.3,"N","MGS","No Male",2,"non-fertile","NonF","Vaginal","Momo",2,0.4,0.4,0.666666666666667,0.833333333333333,1.038536994,10,8,6,5,0.237535
"260",7284411,"Sottise","7/13/19",5.6,"N","FD","No Male",1,"post-fertile","PostF","Vaginal","Alf",8,0.3125,0,0.8,0.166666666666667,0.986394341,9,7,8,5,-0.176989
