Sample,total_reads,avg_input_read_length,uniquely_mapped,uniquely_mapped_percent,avg_mapped_read_length,num_splices,num_annotated_splices,num_GTAG_splices,num_GCAG_splices,num_ATAC_splices,num_noncanonical_splices,mismatch_rate,deletion_rate,deletion_length,insertion_rate,insertion_length,multimapped,multimapped_percent,multimapped_toomany,multimapped_toomany_percent,unmapped_mismatches_percent,unmapped_tooshort_percent,unmapped_other_percent,unmapped_mismatches,unmapped_tooshort,unmapped_other
61.L1,13434389,50,3169907,23.6,25.71,32065,23502,25587,256,13,6209,2.88,0.01,1.53,0,1.47,9146046,68.08,866292,6.45,0,1.84,0.03,0,248099,4045
61.L2,13829462,50,3256907,23.55,25.71,32537,23810,26020,252,13,6252,2.88,0.01,1.57,0,1.48,9419802,68.11,890603,6.44,0,1.86,0.03,0,257989,4161
64.L1,14168808,50,3214546,22.69,23.35,18892,10783,12159,153,10,6570,3.33,0,1.58,0,1.52,9764963,68.92,908599,6.41,0,1.96,0.02,0,277865,2835
64.L2,14473829,50,3281463,22.67,23.34,18964,10836,12160,167,6,6631,3.34,0,1.57,0,1.53,9975903,68.92,928324,6.41,0,1.97,0.02,0,285243,2896
67.L1,14152451,50,3034301,21.44,21.06,12064,88,1477,98,4,10485,3.86,0,1.81,0,1.5,10034052,70.9,907717,6.41,0,1.25,0,0,176381,0
67.L2,14337266,50,3072672,21.43,21.06,11867,71,1367,93,7,10400,3.86,0,1.84,0,1.11,10167461,70.92,917857,6.4,0,1.25,0,0,179276,0
76.L1,15534252,50,3352362,21.58,20.88,10040,71,670,56,1,9313,3.8,0,1.63,0,1.36,11114916,71.55,874303,5.63,0,1.24,0,0,192671,0
76.L2,15844980,50,3414053,21.55,20.87,10112,80,670,61,4,9377,3.8,0,1.59,0,1.32,11339464,71.57,893872,5.64,0,1.25,0,0,197591,0
80.L1,12116578,50,7486110,61.78,48.76,394975,380472,384187,3356,232,7200,0.35,0.02,1.54,0.01,1.59,4391130,36.24,153846,1.27,0,0.17,0.53,0,20762,64730
80.L2,12341076,50,7629133,61.82,48.76,403666,388604,392505,3436,248,7477,0.35,0.02,1.54,0.01,1.58,4468708,36.21,156994,1.27,0,0.17,0.53,0,20944,65297
81.L1,32142960,50,6747826,20.99,21.43,31273,5923,12472,253,9,18539,3.78,0,1.55,0,1.42,22761155,70.81,1925573,5.99,0,2.2,0,0,708406,0
81.L2,32804551,50,6886033,20.99,21.42,32040,5907,12647,274,10,19109,3.78,0,1.57,0,1.45,23228221,70.81,1964920,5.99,0,2.21,0,0,725377,0
82.L1,10110829,50,2170423,21.47,21.49,6501,1448,2209,63,8,4221,3.91,0,1.66,0,1.42,7139501,70.61,654813,6.48,0,1.44,0,0,146092,0
82.L2,10246979,50,2200766,21.48,21.5,6475,1486,2246,53,1,4175,3.91,0,1.66,0,1.31,7233454,70.59,664099,6.48,0,1.45,0,0,148660,0
83.L1,34737333,50,7817026,22.5,22.78,41319,21514,24160,295,30,16834,3.45,0,1.61,0,1.47,24470132,70.44,1968590,5.67,0,1.38,0.01,0,478120,3465
83.L2,35384797,50,7961886,22.5,22.76,42214,22022,24548,333,28,17305,3.45,0,1.58,0,1.53,24928357,70.45,2005112,5.67,0,1.37,0.01,0,485895,3547
89.L1,17406480,50,3427071,19.69,20.98,10849,205,1973,87,2,8787,3.92,0,1.81,0,1.44,12579628,72.27,1025805,5.89,0,2.15,0,0,373976,0
89.L2,17825608,50,3504698,19.66,20.98,11038,207,2028,94,3,8913,3.93,0,1.9,0,1.67,12884068,72.28,1051643,5.9,0,2.16,0,0,385199,0
